mediaeval medieval
aluminium aluminum
shares shared
mistrust distrust
modeling modelling
solved resolved
solved resolve
solving resolve
solved resolving
solving resolved
solving resolving
telephone phone
classical classic
litre liter
east eastern
partly partially
deposits deposited
waterways waterway
server servers
resources resource
archeology archaeology
concentrated concentrates
dance dancing
telephones phones
telephone phones
plunder plundering
sing singing
nationalist nationalistic
christians christian
luckily fortunately
binds bindings
protection protecting
protection protected
registers registered
advisor adviser
canoeing canoe
mohammed mohamed
grants granting
telephone phone
paintings paints
judgment judgement
unsubstantiated unfounded
shifting shifts
computerised computerized
soils soil
countryman compatriot
withdraws withdrawal
portray depict
mobilization mobilisation
contentious controversial
investigations investigate
iraqis iraqi
diluted dilute
inherently intrinsically
organizations organisation
organization organisation
totally completely
moustache mustache
demanding demands
imported imports
investigate investigations
ineffective inefficient
monitoring monitor
launches launched
favourable favorable
rethink rethinking
okay ok
ok okay
organizers organisers
kidnap kidnappings
expenditures expenditure
emissions emission
resources resource
protesting protests
underlined underlines
unfairly unjustly
explosive explosives
electric electrical
adversely negatively
cooperates collaborate
cooperates collaborates
fight fighting
symbolise symbolize
moreover furthermore
palestinians palestinian
humanistic humanist
employee employees
modelling modeling
vital crucial
collaborate cooperates
collaborates cooperates
accident accidents
protecting protection
protects protection
identify identifying
hunting hunts
hunting hunt
tsunami tsunamis
resumes resumed
affirmed reaffirmed
imitate emulate
employees employee
devotion dedication
binds binding
binds bindings
interviewed interviews
resource resources
reports reporting
aluminum aluminium
telephoning phoning
telephone phoning
withdrawal withdrawing
malfunction malfunctioning
resource resources
recordings records
controlling control
corrupted corrupt
overlap overlapping
capability capacity
plundering plunder
killings kills
crucial vital
archeologist archaeologist
continuing continued
regulations regulation
painting paint
phoned telephones
phoned telephoned
phones telephone
phones telephones
phoned telephone
phones telephoned
disassociate dissociate
limits limiting
organisers organizers
amazement astonishment
brainstorming brainstorm
resource resources
restarting restart
outcomes outcome
terrifying frightening
exiled exiles
forecast forecasting
analogue analog
imperialistic imperialist
launching launch
solving resolving
offerings offers
aluminium aluminum
waiting wait
started starts
unfavorable unfavourable
paint painting
harvested harvests
adolescents adolescent
accidents accident
movable moveable
regrettably unfortunately
nevertheless nonetheless
continuously constantly
unjustly unfairly
center centre
phones telephones
phones telephone
scanning scans
scanning scan
amidst amid
wounded injured
eyeglasses glasses
coverings covers
combating combat
packing packaging
repress suppress
recruited recruits
mohamed mohammed
withdrawn withdrawal
chancery chancellery
protection protecting
whisky whiskey
download downloading
dissociate disassociate
recruiting recruit
resources resource
ridiculous ludicrous
sampled samples
cancelling cancel
preventing prevent
outcome outcomes
bombings bombs
emission emissions
combating combats
levelling leveling
reversed reverse
rankings ranks
protect protections
withdrew withdrawal
lies lying
northwestern northwest
shifts shifting
consultation consultations
photograph photo
furthermore moreover
insurmountable insuperable
lying lies
cooperates collaborates
disillusionment disenchantment
neighboring neighbouring
erroneously mistakenly
demands demanding
burnt burned
neighbouring neighboring
tramway tram
cooperated collaborated
procedure procedures
constantly continuously
concentrates concentrated
control controlling
donor donors
mohammed mohamed
waterway waterways
kilogram kilo
protests protesting
guarantee guaranteeing
signaling signalling
transporting transport
crossroad crossroads
collaborated cooperated
completely totally
classic classical
adolescent adolescents
gynaecologist gynecologist
billion millions
billion million
photographing photo
judgments judgements
dilute diluted
authorise authorizing
authorise authorize
authorised authorize
authorised authorized
authorise authorized
regulation regulations
optimum optimal
listings lists
kissing kiss
colour coloured
issues issuing
imports imported
paints paintings
mechanisms mechanism
catalogued cataloged
astonishment amazement
indisputably unquestionably
protecting protection
protected protection
controlling control
signalling signaling
empower empowering
cooperate collaborate
brainstorm brainstorming
argentine argentinian
user users
procedures procedure
starting start
sterilisation sterilization
collaboration cooperation
interviews interviewed
harvest harvesting
southeastern southeast
telephone phone
atheist atheistic
unquestionably indisputably
monitor monitoring
counting count
modelling modeling
changing change
changing changes
monitor monitoring
substantially significantly
jeopardise jeopardize
insufficient inadequate
samples sampled
kilo kilogram
egotism egoism
phone telephone
judgment judgement
dancing dance
regulation regulations
dramatically drastically
phoning telephoning
phoning telephone
counterbalance counterweight
judgements judgments
hazardous dangerous
relationships relationship
descriptions description
symbolise symbolize
mainly primarily
records recordings
tremendous enormous
adjustments adjustment
unquestionably undeniably
laudable commendable
considerably significantly
guarding guards
discharged discharges
immigrated emigrate
immigrated emigrated
solitude loneliness
scepticism skepticism
improperly incorrectly
sulfide sulphide
fertilizer fertiliser
mobilise mobilize
powder powdered
optimal optimum
presently currently
groupings groups
judgement judgment
auction auctioning
southeast southeastern
overlapping overlap
overlapping overlaps
combats combating
exiles exiled
injured wounded
recruit recruiting
inevitable unavoidable
feces faeces
underlines underlined
delay delayed
practically virtually
offers offerings
slovakian slovak
judgments judgement
judgment judgements
judgments judgements
increased increase
singing sing
medallist medalist
inadequate insufficient
everybody everyone
ecologically environmentally
checking check
procedure procedures
unbelievably incredibly
extraordinarily extremely
emigrate immigrated
emigrated immigrated
faeces feces
negatively adversely
centre center
armoured armored
encyclopaedia encyclopedia
listings lists
listings list
expiry expiration
assessment assessments
manufactures manufacturing
manufacture manufacturing
geographical geographic
covers coverings
vital essential
launch launching
collaborates cooperates
harvests harvested
increase increased
disgraceful shameful
subsidized subsidised
ageing aging
spokesperson spokesman
canoe canoeing
especially particularly
hosted hosts
undeveloped underdeveloped
kidnapping kidnap
mechanisms mechanism
officially formally
guerilla guerrilla
informations info
unimpeded unhindered
starts started
neutralize neutralise
withdrawing withdrawal
edit editing
wastes waste
unshakeable unshakable
photo photographing
crossroads crossroad
skepticism scepticism
forward forwards
identifying identify
description descriptions
groups groupings
hired hires
agreements arrangements
outdated outmoded
jeopardize endanger
traveler traveller
irrespective regardless
child children
exceptionally extraordinarily
kills killings
unshakable unshakeable
mobilize mobilise
comparatively relatively
standards standard
unwarranted unjustified
recruits recruited
judgement judgments
judgements judgment
judgements judgments
powdered powder
emulate imitate
acknowledgment acknowledgement
reduction reduced
reduction reduces
reduction reducing
attracting attract
signaling signalling
precisely exactly
primarily mainly
bombs bombings
compatriot countryman
trawl trawling
honour honored
honoured honored
castings casts
ambiance ambience
substituted substitutes
mistakenly erroneously
explicitly expressly
subsidised subsidized
ordering orders
fostering fosters
unfavourable unfavorable
unresolved unsolved
neighbouring neighbour
inserting insert
despair desperation
humankind humanity
favourite favorite
cooperating collaborating
cooperating collaborate
ranks rankings
honored honour
honored honoured
hijackings hijacks
emigrate migrate
reduced reduction
reduces reduction
reducing reduction
finance financing
perilously dangerously
collaborating cooperating
collaborate cooperating
safeguarding safeguard
protecting protection
significantly substantially
download downloading
promoting promotion
diffused diffuse
eventually ultimately
unforeseeable unpredictable
helpful useful
textiles textile
principally mainly
theatre theater
archaeologist archeologist
definitely certainly
arrangements agreements
missions mission
telephones phone
telephones phones
lists listings
sorting sorts
soil soils
guards guarding
whiskey whisky
counterweight counterbalance
organisation organizations
organisation organization
progeny offspring
crucial essential
supports support
formally officially
rented rents
cataloged catalogued
subordinate subordinated
fingerprinting fingerprint
obligation obligations
millions billion
million billion
suppliers supplier
issuing issues
signalling signaling
convicted convicts
overlap overlapping
overlaps overlapping
disadvantaged disadvantages
significance importance
theater theatre
voting vote
flu influenza
kidnapping kidnap
archaeology archeology
analog analogue
railway railways
armored armoured
thankfully fortunately
agreements arrangements
frightening terrifying
centered centred
centered centre
authorizing authorise
authorize authorise
authorize authorised
authorized authorised
authorized authorise
thaw thawing
negotiating negotiation
negotiating negotiations
mechanism mechanisms
efficacy effectiveness
accomplishment achievement
costs cost
center centre
debates debating
discharges discharged
preventative preventive
sulfuric sulphuric
refrigerator fridge
fingerprint fingerprinting
indicator indicators
undoubtedly unquestionably
stereotypical stereotyped
totally absolutely
virtually practically
organization organisation
urge urged
symbolize symbolise
colors colours
exchanging exchange
interacting interact
favorite favourite
sterilization sterilisation
urge urges
tremendously enormously
scan scanning
debating debates
criticize criticise
deepened deepen
unhindered unimpeded
consultations consultation
foetus fetus
mechanisms mechanism
fetus foetus
centred centered
centre centered
obligations obligation
unlocking unlock
speciality specialty
summarise summarize
photocopying photocopy
expenditure expenditures
collect collecting
achievements accomplishments
analytical analytic
gelatine gelatin
bursting bursts
medalist medallist
textile textiles
strengthening strengthened
efficient effective
criticise criticize
colorless colourless
lists listings
list listings
assessments assessment
endanger jeopardize
mission missions
converting convert
orders ordering
colourless colorless
standard standards
appropriately properly
geological geologic
swim swimming
thankful grateful
usually generally
unbelievable incredible
programmes programs
programme programs
programmes program
programme program
centre center
sulfate sulphate
charming charms
palestinian palestinians
shameful disgraceful
loading load
hosts hosted
synchronization synchronisation
jeopardize jeopardise
users user
complaints complaint
untenable unsustainable
arrangements agreements
protecting protect
fanatic fanatical
firearm firearms
count counting
counterfeiting counterfeit
scaffold scaffolding
centers centres
centers centre
geologic geological
database databases
photographs photos
concurrently simultaneously
prevent preventing
photo photograph
metres meter
metre meter
attract attracting
hires hired
entirely completely
relationship relationships
overly excessively
reaffirmed reiterate
reaffirm reiterated
reaffirm reiterate
reaffirmed reiterated
reaffirms reiterate
argentinean argentine
commendable laudable
financing finance
tattooing tattoo
casts castings
enormous tremendous
fosters fostering
regardless irrespective
ineffectual ineffective
restricted limited
rents rented
dependable reliable
guessing guesses
identify identifying
assessments evaluations
evaluations assessments
reduce reduced
supporting support
unofficially informally
dangerous hazardous
support supporting
significantly considerably
partnership partnerships
modeling modelling
pillage pillaging
blocking blocks
substitutes substituted
accomplishments achievements
centre center
collaborative cooperative
missions mission
primarily principally
migrate emigrate
symmetric symmetrical
exactly precisely
cataloguing cataloging
partnerships partnership
revolutionize revolutionise
considerably substantially
environmentalists conservationists
northwest northwestern
ludicrously ridiculously
opening open
hosts host
procedures procedure
determine determining
scaffolding scaffold
archaeologists archeologists
interact interacting
reiterated reaffirmed
elliptic elliptical
users user
unlocking unlock
corrupt corrupted
urged urge
insurrection insurgency
influenza flu
needlessly unnecessarily
adviser advisor
expiration expiry
unexpected unanticipated
achievement accomplishments
achievements accomplishments
gelatin gelatine
kilometer kilometre
canceling cancel
phone telephones
phones telephones
preventive preventative
favorably favourably
sulphate sulfate
networking networks
fined fines
canceling cancelling
reaffirmed reiterated
symmetrical symmetric
appointing appoint
attracting attract
essential vital
judgement judgment
continued continuing
auditing audit
sulphuric sulfuric
undeniably unquestionably
feasible viable
chrome chromium
specialty speciality
carpeting carpet
monitor monitoring
editing edit
inquired enquired
waste wastes
spokesman spokesperson
procedure procedures
protect protecting
yugoslavian yugoslav
contagious infectious
encourage encouraging
sulfide sulphide
celebrates commemorates
conservationists environmentalists
steroids steroid
atheistic atheist
particularly especially
talking talk
southwestern southwest
expenditures expenditure
aliases alias
canceled cancelled
hijacks hijackings
reverse reversed
teheran tehran
procedures procedure
kidnap kidnapping
designing design
transmit transmitted
leveling levelling
unlocked unlock
demagoguery demagogy
pledges pledging
controversial contentious
humanist humanistic
guesses guessing
discounting discount
vehicle vehicles
photographs photos
photographs photo
databases database
characterise characterize
sorts sorting
insert inserting
unrestricted unlimited
firearms firearm
incorrectly improperly
indicators indicator
complaint complaints
unwavering unswerving
troubling disturbing
effective efficient
archeologists archaeologists
reptiles reptile
unthinkable inconceivable
refueling refuelling
tribunals tribunal
anaesthetic anesthetic
determining determine
breaks broken
dedication devotion
programs programmes
programs programme
program programmes
program programme
chromium chrome
conducting conduct
epicenter epicentre
reduction reduced
separate separated
egoism egotism
info informations
colours colors
success succeeded
dorm dormitory
unauthorized unauthorised
enquired inquired
checking check
principle principles
essential crucial
offenses offences
innumerable countless
reiterate reaffirmed
reiterated reaffirm
reiterate reaffirm
reiterated reaffirmed
reiterate reaffirms
principles principle
collecting collect
monitoring monitor
kidnapping abduction
sulfate sulphate
forged forges
certainly definitely
tumour tumor
check checking
chaired chairs
infamous notorious
gynecology gynaecology
disillusionment disappointment
sweeping sweeps
loneliness solitude
spraying sprays
accomplishments achievement
accomplishments achievements
switching switch
commemorates celebrates
organisation organization
evaluation assessment
capacity capability
load loading
deploying deploy
sanctioning sanctions
comprehensible understandable
reduced reduction
inputs input
originally initially
hop hops
photos photographs
immigrate emigrate
inserting insert
sell selling
broken breaks
screaming screams
supplier suppliers
dissemination disseminated
unswerving unwavering
instantaneous instant
promotion promoting
somebody someone
cancel cancelling
slovak slovakian
underestimated understated
servers server
disadvantages disadvantaged
assigning assign
contracting contracts
enormously tremendously
unlock unlocking
bursts bursting
overestimated overstated
walks walking
walk walking
irrevocably irreversibly
accomplishments achievements
capitalist capitalistic
anticipated expected
signalling signal
advertisements adverts
iraqi iraqis
rebuild rebuilding
resolve solve
achievements accomplishments
servers server
kidnap kidnapping
initially originally
mechanism mechanisms
jeweler jeweller
safeguard safeguarding
unauthorised unauthorized
overstated overestimated
fines fined
variations variants
passports passport
abduction kidnapping
strengthened strengthening
hops hop
flavored flavoured
maneuvers manoeuvres
unjustified unwarranted
compulsory mandatory
grant granting
grants granting
surely certainly
underestimated understated
recruiting recruitment
unlock unlocked
apologize apologised
apologized apologised
apologized apologise
apologize apologise
synchronized synchronised
urge urges
fishery fisheries
disseminated dissemination
laboratories labs
tribunal tribunals
completely entirely
incoherent inconsistent
affirmed reaffirmed
affirm reaffirmed
affirm reaffirm
monitoring monitor
windscreen windshield
passport passports
honor honour
gymnastics gymnastic
cuttings cuts
verifying verify
synchronise synchronize
folders folder
underprivileged disadvantaged
payment payments
graveyard cemetery
stereotyped stereotypical
anesthetics anaesthetics
emphasized emphasised
characters character
decrease decreased
coordinates coordinating
experts expert
roughly approximately
freeze freezing
symbolizes symbolises
center centre
mission missions
logging logs
request requests
recalling recalls
updated update
sulphide sulfide
lease leasing
useful helpful
pledging pledges
geologic geological
blocks blocking
shia shiite
convert converting
anaesthetics anesthetics
converted conversion
appoint appointing
vote voting
mandatory compulsory
amid amidst
creating create
unwillingness reluctance
variants variations
reptile reptiles
reduced reduce
degradation deterioration
saviour savior
members member
meter metres
meter metre
response responses
organiser organizer
sanitarium sanatorium
steroid steroids
geographic geographical
regulations regulation
assessments assessment
cataloging cataloguing
advisor adviser
restart restarting
displeasure dissatisfaction
centres centers
centre centers
flavoured flavored
verify verifying
shia shiites
erroneously incorrectly
member members
networks networking
trawling trawl
charms charming
investigations inquiries
attainable achievable
urges urge
absolutely totally
character characters
understandable comprehensible
substantially considerably
updated update
unpredictable unforeseeable
travelers travellers
instantaneously instantly
currently presently
manoeuvres maneuvers
convicts convicted
tumor tumour
server servers
ordinarily normally
finishing finish
obstinacy stubbornness
airplanes planes
deceit deception
conversion converted
freezing freeze
installments instalments
perspectives perspective
source sources
renaming rename
handicapped handicaps
weird strange
strengthened strengthen
understated underestimated
usable useable
photos photographs
photo photographs
splitting split
coordinating coordinates
expand expanding
impressionistic impressionist
unify unifying
channeling channelling
obstinately stubbornly
yasin yassin
collection collected
selling sell
traveller traveler
logs logging
basically essentially
specialties specialities
payments payment
travellers travelers
investigations investigative
walking walks
walking walk
israelis israeli
preventive preventative
combat combating
sources source
specializes specialises
sulphate sulfate
photocopy photocopying
emphasised emphasized
favorites favourites
tramway tram
animosity hostility
inquiries investigations
growth grew
demagogy demagoguery
principles principle
glycerin glycerine
organizer organiser
symbolises symbolizes
orphaned orphan
understated underestimated
financing funding
erroneously wrongly
shiites shia
marvellous wonderful
coherent consistent
synchronised synchronized
revision revised
lobbying lobby
deterioration degradation
vanish disappearing
vanish disappear
fell felled
alternatives alternative
colourful colorful
item items
succeeded success
unlock unblock
unwittingly unintentionally
limo limousine
gynaecology gynecology
luggage baggage
seldom rarely
product products
tendering tenders
expert experts
cancelling canceling
railways railway
chairs chaired
gymnastic gymnastics
cracking cracks
products product
indicator indicators
wired wires
spaceship spacecraft
unfounded unsubstantiated
stressing emphasizing
encyclopedia encyclopaedia
viable feasible
assign assigning
inconceivable unthinkable
squared squares
unlock unlocking
counterfeiting counterfeit
dig digging
geological geologic
examinations exams
sulfuric sulphuric
reconfirm reaffirm
reconfirm reaffirmed
emission emissions
negotiation negotiating
negotiations negotiating
contracts contracting
specialises specializes
selecting select
meal meals
yogurt yoghurt
haemoglobin hemoglobin
sanctions sanctioning
fanatical fanatic
instalments installments
expenditure expenditures
encourages encourage
christian christians
designing design
favourites favorites
unsustainable untenable
surrealistic surreal
exam examination
typically usually
unifying unify
open opening
closes closings
sprays spraying
fundamental essentials
son sons
overstate overestimate
vehicles vehicle
everyone everybody
specialize specialise
deepen deepened
incontestable indisputable
backwards backward
accomplishments achievements
felled fell
investigation investigated
compressing compress
cooperation cooperates
unswerving unwavering
environmentally ecologically
global worldwide
colorful colourful
logistical logistic
honor honour
pumping pumps
requests request
discarding discard
unlimited unrestricted
progressively gradually
sulfate sulphate
recommendations recommendation
assisting assist
exempted exempt
travelers travellers
privation deprivation
hooks hook
characterize characterise
pillaging looting
increase increased
recommendation recommendations
assessing assess
expected anticipated
specialities specialties
investigative investigations
jeweller jeweler
dance dancing
realisation realization
revolutionise revolutionize
anesthetic anaesthetic
savior saviour
installments instalments
anemia anaemia
underdeveloped undeveloped
inconsistent incompatible
synchronized synchronised
charges charging
overestimate overstate
recalls recalling
assessment evaluation
inexcusable unforgivable
sons son
stubbornness obstinacy
user users
excessively overly
epicentre epicenter
expand expanding
organisation organization
audit auditing
tunneling tunnel
attract attracting
delegation delegations
usually typically
achievable feasible
coldly coolly
server servers
strengthen strengthened
investigated investigation
licensing license
pupil pupils
inappropriately improperly
restoring restore
specialty specialities
specialties specialities
meals meal
travellers travelers
canceling cancelling
closings closes
expanding expand
judgment judgement
leasing lease
inaccurate incorrect
upgrade upgrading
suppress repress
capability capacity
honor honours
honors honours
reaffirmed affirmed
reaffirmed affirm
reaffirm affirm
responses response
encyclopedias encyclopaedias
locking lock
astounding astonishing
overestimating overstating
apologizes apologises
apologize apologises
encouraging encourage
evacuate evacuating
refugees refugee
responding respond
alias aliases
disenchanted disillusioned
irritating annoying
overstatement exaggeration
ultimately eventually
cost costs
notorious infamous
dismantled disassembled
emphasizing stressing
license licensing
funding financing
photographs photos
individualistic individualist
achievements accomplishments
unfortunately regrettably
start starting
specialise specialize
forges forged
accessing access
tentatively provisionally
overstating overestimating
incompatible inconsistent
sweeps sweeping
okay ok
regulations regulation
unwavering unswerving
competitions competition
overlapping overlap
downloaded download
drives driving
criticize criticise
spying spies
cooperation collaboration
drawn draws
separated segregated
bazar bazaar
judgment judgement
cuts cuttings
unblock unlock
coolly coldly
cooperates cooperation
incorrectly wrongly
updating update
questionable dubious
merciless ruthless
essentials fundamental
refugees refugee
capacity capacities
relatively comparatively
mythic mythical
summarize summarise
folder folders
disassembled dismantled
bike bicycle
suppresses repressed
numeric numerical
update updated
examination exams
examinations exams
blond blonde
counselors counsellors
screams screaming
conflicting contradictory
helplessness powerlessness
transferring transfer
socialist socialists
baggage luggage
disillusioned disenchanted
honours honor
honours honors
significant important
instantly instantaneously
southwest southwestern
refugee refugees
indicator indicators
boldly courageously
instalments installments
demoralize demoralise
swimming swim
schooling school
specialized specialised
substantiated corroborated
chemicals chemical
decreased decrease
create creating
volunteer volunteers
mistreatment mistreated
deepen deepening
solve resolve
soya soy
sell selling
allowable permissible
integrate integrating
catastrophe disaster
chancellery chancery
start starting
integrating integrate
listing list
driving drives
glycerine glycerin
inadvertently unintentionally
apologises apologizes
apologises apologize
tattoo tattooing
select choose
select chose
selected choose
mythical mythic
armored armoured
conventions convention
expenditures expenditure
planes airplanes
revised revision
judgment judgement
analysis analysed
tenders tendering
unambiguous unequivocal
pillaging pillage
stabilized stabilised
educate educating
animosity enmity
inescapable inevitable
resourcefulness ingenuity
judgment judgement
appointments appointment
skill skills
nevertheless however
catalogue catalog
ridiculously ludicrously
children child
elliptical elliptic
earthquakes quakes
undoubtedly certainly
dubious questionable
fortunately luckily
colors colours
color colours
tv television
squares squared
tranquility tranquillity
apologised apologize
apologised apologized
apologise apologized
apologise apologize
anybody anyone
astonishingly amazingly
measurements measurement
backwards backward
synchronised synchronized
molded moulded
prejudices prejudice
perseverance persistence
overlap overlapping
sanatorium sanitarium
eradicate eradicating
specializing specialised
specialized specialised
substantiated corroborated
specialities specialty
specialities specialties
sulphide sulfide
dependability reliability
appropriately adequately
criticise criticize
digging dig
sadly unfortunately
deepening deepen
reduction decreases
labs laboratories
imperialist imperialistic
charging charges
support supports
analog analogue
delayed delay
problem problems
corroborated substantiated
indicators indicator
manufacturing manufactures
manufacturing manufacture
clicking click
tram tramway
design designing
stabilized stabilised
stabilize stabilised
stabilizing stabilised
cancelling canceling
patient patients
cracks cracking
specialised specialized
verifying verify
packaging packing
starting start
organizations organisations
maths mathematics
gelatine gelatin
yassin yasin
impending imminent
anaemia anemia
safeguarding safeguard
armoured armored
unsatisfied dissatisfied
behaviors behaviours
enmity hostility
gradually progressively
skillful skilful
honour honor
stairway staircase
sulfate sulphate
insert inserting
solely exclusively
unbearable intolerable
maximise maximize
yoghurt yogurt
absurdly ridiculously
importance significance
renovated rehabilitated
upgrading upgrade
staircases stairs
jeopardise endanger
usually normally
rehabilitated renovated
dangerously perilously
reiterated reaffirm
reiterate reaffirmed
reiterated reaffirmed
reiterate reaffirm
capabilities capacities
cooperation cooperated
capacities capabilities
displaying display
counsellors counselors
figuratively metaphorically
chairperson chairman
chairperson chairmen
neighborhoods neighbourhoods
adverts advertisements
impressionist impressionistic
kilometre kilometer
disadvantaged underprivileged
enterprise enterprises
wires wired
corroborated substantiated
investigation investigated
confectionary confectionery
banning ban
prejudice prejudices
ensure ensuring
celebrated commemorated
celebrated commemorate
orphans orphan
reviewing reviews
reviewing review
respecting respect
collaboration cooperation
infectious contagious
conversion converts
licensed licence
specialised specializing
specialised specialized
grandma grandmother
colours colors
colours color
mold mould
spilled spills
gifted talented
expanded extended
control controlling
investigated investigation
repressed suppresses
mechanism mechanisms
judgement judgment
falling felling
afterward afterwards
sewerage sewage
volunteers volunteer
improperly inappropriately
weight weighed
weighted weighed
disturbing troubling
decreases reduction
handicaps handicapped
expenditure expenditures
ridiculously absurdly
sulphuric sulfuric
alternative alternatives
regulations regulation
selling sell
unchecked uncontrolled
cancel canceling
individualist individualistic
respond responding
moulded molded
deploying deploy
define defining
behaviours behaviors
hemorrhage hemorrhaging
protracted prolonged
incredible unbelievable
lymphatic lymph
specially specifically
stabilised stabilized
photos photographs
metaphorically figuratively
tranquillity tranquility
cyclic cyclical
correctly properly
counselors counsellors
tumors tumours
metre meters
metres meters
converts conversion
unintentionally unwittingly
emissions emission
reduce reducing
fibers fibres
grouping groups
grouping group
assessment assessments
useable usable
directory directories
recognizes acknowledges
connecting connect
achievable attainable
refurbishment renovation
